2000,bovino,1000
2000,ovino,500
2000,caprino,200
2000,porcino,3000
2001,bovino,1100
2001,ovino,550
2001,caprino,220
2001,porcino,3200
2002,bovino,1200
2002,ovino,600
2002,caprino,250
2002,porcino,3400
2003,bovino,1300
2003,ovino,650
2003,caprino,280
2003,porcino,3600
2004,bovino,1400
2004,ovino,680
2004,caprino,300
2004,porcino,3800
2005,bovino,1450
2005,ovino,700
2005,caprino,320
2005,porcino,4000
2006,bovino,1500
2006,ovino,720
2006,caprino,350
2006,porcino,4200
2007,bovino,1550
2007,ovino,750
2007,caprino,380
2007,porcino,4400
2008,bovino,1600
2008,ovino,780
2008,caprino,400
2008,porcino,4600
2009,bovino,1650
2009,ovino,800
2009,caprino,420
2009,porcino,4800
2010,bovino,1700
2010,ovino,820
2010,caprino,450
2010,porcino,5000
2011,bovino,1750
2011,ovino,850
2011,caprino,480
2011,porcino,5200
2012,bovino,1800
2012,ovino,880
2012,caprino,500
2012,porcino,5400
2013,bovino,1850
2013,ovino,900
2013,caprino,520
2013,porcino,5600
2014,bovino,1900
2014,ovino,920
2014,caprino,550
2014,porcino,5800
2015,bovino,1950
2015,ovino,950
2015,caprino,580
2015,porcino,6000
2016,bovino,2000
2016,ovino,980
2016,caprino,600
2016,porcino,6200
2017,bovino,2050
2017,ovino,1000
2017,caprino,620
2017,porcino,6400
2018,bovino,2100
2018,ovino,1020
2018,caprino,640
2018,porcino,6600
2019,bovino,2150
2019,ovino,1050
2019,caprino,660
2019,porcino,6800
2020,bovino,2200
2020,ovino,1080
2020,caprino,680
2020,porcino,7000
2021,bovino,2250
2021,ovino,1100
2021,caprino,700
2021,porcino,7200
2022,bovino,2300
2022,ovino,1120
2022,caprino,720
2022,porcino,7400
2023,bovino,2350
2023,ovino,1150
2023,caprino,740
2023,porcino,7600
